android.animation.AnimatorSet.Builder,AnimatorSet.Builder with(Animator anim), Sets up the given animation to play at the same time as the animation supplied in the play(Animator) call that created this Builder object.
android.animation.AnimatorSet,void playTogether(Collection<Animator> items), Sets up this AnimatorSet to play all of the supplied animations at the same time.
android.animation.AnimatorSet,void playTogether(Animator... items), Sets up this AnimatorSet to play all of the supplied animations at the same time.
